domain,bl,domainpop,abirth,aentries,alexa,dmoz,statuscom,statusnet,statusorg,statusde,statustld_registered,related_cnobi,changes,whois
insperevives.cat,1,0,2020,2,0,-,available,available,available,available,1,-,Today 20:15,available
laveudelesmuixerangues.cat,0,0,-,0,0,-,registered,available,available,available,2,2,Today 20:00,available
mesbarcelona.cat,0,0,-,0,0,-,registered,available,available,available,3,23,Today 20:00,available
menades.cat,0,0,-,0,0,-,unknown,unknown,unknown,unknown,0,-,Today 19:40,available
barcel-honasports.cat,0,0,2018,2,0,-,registered,available,available,available,2,2,Today 17:00,available
Happy-Dog.cat,0,0,2018,2,0,-,registered,available,registered,registered,36,38,Today 16:40,available
ihmarti.cat,30,1,2013,61,0,-,available,available,available,available,1,-,Today 16:40,available
bjaass.cat,0,0,2018,1,0,-,registered,available,available,available,2,3,Today 16:30,available
zonaesport.cat,2,1,2018,5,0,-,registered,available,available,available,5,3,Today 16:20,available
joanet.cat,1,0,-,0,0,-,registered,available,available,available,5,39,Today 15:30,available
guai.cat,0,0,-,0,0,-,registered,registered,registered,registered,64,2.7 K,Today 15:30,available
insebre-grup1b.cat,0,0,-,0,0,-,available,available,available,available,1,-,Today 15:30,available
aicatexclusives.cat,0,0,2018,14,0,-,available,available,available,available,1,-,Today 09:16,available
SailAndLead.cat,0,0,-,0,0,-,registered,available,available,available,3,2,Today 09:15,available
TechClothes.cat,0,0,-,0,0,-,registered,available,available,registered,4,10,Today 08:50,available
esitservices.cat,0,0,-,0,0,-,registered,available,available,available,3,34,Today 08:50,available
29febrer.cat,0,0,-,0,0,-,available,available,available,available,1,1,Today 08:50,available
RestaurantCanJane.cat,1,0,-,0,0,-,registered,available,available,available,2,2,Today 08:40,available
podologiapediatrica.cat,0,0,-,0,0,-,registered,registered,available,available,4,3,Today 08:40,available
modifiquemelcanvi.cat,3,0,2020,2,0,-,available,available,available,available,1,-,Today 08:35,available
aprofitemaliments.cat,1,0,2020,2,0,-,available,available,available,available,1,-,Today 08:30,available
GameZone.cat,0,1,-,0,0,-,registered,registered,registered,registered,142,511,Today 08:30,available
RogerPuigFont.cat,0,0,-,0,0,-,available,available,available,available,1,-,Today 08:30,available
empordaestil.cat,0,0,2018,2,0,-,registered,available,available,available,1,-,Today 05:06,available
DeciDimPolinya.cat,1,0,2018,2,0,-,available,available,available,available,0,-,Today 04:56,available
bcndt.cat,0,0,-,0,0,-,registered,registered,registered,available,5,4,Today 04:56,available
Orchestrator.cat,0,0,-,0,0,-,registered,registered,registered,registered,38,172,Today 04:56,available
xarxadonesperiodistescatalunya...cat,1,2,2019,1,0,-,available,available,available,available,0,-,Today 04:50,available
AgoraAcademia.cat,299,1,2010,28,0,-,registered,available,available,available,0,3,Today 04:46,available
indoorpadelvic.cat,1,0,2017,21,0,-,available,available,available,available,0,-,Today 04:35,available
bizarrebcn.cat,0,0,-,0,0,-,registered,available,available,available,0,2,Today 04:35,available
canviemelpresent.cat,0,0,-,0,0,-,registered,available,registered,available,2,4,Yesterday 21:05,available
isilines.cat,0,0,-,0,0,-,registered,registered,registered,registered,25,5,Yesterday 20:55,available
insebre-grup3b.cat,0,0,-,0,0,-,available,available,available,available,0,-,Yesterday 20:55,available
TapasBus.cat,1,0,2018,1,0,-,registered,available,available,available,4,5,Yesterday 20:55,available
tomeucaldentey.cat,1,0,2007,8,0,-,registered,available,available,available,2,2,Yesterday 20:50,available
cqbcat.cat,0,0,2018,3,0,-,available,available,available,available,1,-,Yesterday 20:50,available
foroenergia.cat,0,0,2018,2,0,-,registered,registered,registered,available,5,11,Yesterday 20:50,available
minigrec.cat,20,2,2017,4,0,-,available,available,available,available,0,-,Yesterday 20:50,available
SecretSails.cat,0,0,-,0,0,-,registered,available,available,available,2,2,Yesterday 20:45,available
formacioalaula.cat,0,0,-,0,0,-,available,available,available,available,0,-,Yesterday 20:45,available
trobalaclauperemanciparte.cat,5,0,2010,20,0,-,available,available,available,available,0,-,Yesterday 20:30,available
terradolca.cat,85,2,2009,58,0,-,registered,available,available,available,1,2,Yesterday 20:30,available
inverestancos.cat,0,0,-,0,0,-,registered,available,available,available,1,-,Yesterday 20:25,available
fincasmartin.cat,0,0,-,0,0,-,registered,registered,available,available,4,9,Yesterday 20:25,available
donalisuport.cat,1,0,2020,1,0,-,available,available,available,available,0,-,Yesterday 20:25,available
montserratturabcn.cat,64,1,2011,22,0,-,available,available,available,available,0,-,Yesterday 20:15,available
ConradSon.cat,0,0,-,0,0,-,registered,available,available,available,2,15,Yesterday 20:15,available
CritErisIconSideraCions.cat,9,1,2013,1,0,-,available,available,available,available,0,-,Yesterday 20:05,available
seguridadinformaticabcn.cat,0,0,-,0,0,-,registered,available,available,available,2,2,Yesterday 20:05,available
See.cat,0,0,2014,11,0,-,registered,registered,registered,registered,325,-,Yesterday 18:41,available
mardepins.cat,0,0,-,0,0,-,registered,available,available,available,2,-,Yesterday 17:00,available
RegrowGardens.cat,0,0,2018,2,0,-,registered,registered,available,available,5,1,Yesterday 16:45,available
SinteSis.cat,0,0,2018,1,0,-,registered,registered,registered,registered,43,241,Yesterday 16:41,available
casajuanaperruquers.cat,1,0,2018,3,0,-,available,available,available,available,0,-,Yesterday 16:41,available
phuket.cat,1,0,-,0,0,-,registered,registered,registered,registered,0,8.7 K,Yesterday 16:30,available
biblioteques-unesco.cat,7,3,2018,7,0,-,available,available,available,available,0,-,Yesterday 16:30,available
biohabitatfutur.cat,0,0,2018,2,0,-,available,available,available,available,0,-,Yesterday 16:30,available
totpeltrack.cat,0,0,2018,3,0,-,available,available,available,available,0,-,Yesterday 16:20,available
avistadocell.cat,0,0,-,0,0,-,registered,available,available,available,2,2,Yesterday 15:30,available
lluismariajou.cat,0,0,-,0,0,-,available,available,available,available,0,-,Yesterday 09:00,available
niscnivema.cat,0,0,-,0,0,-,available,available,available,available,0,-,Yesterday 09:00,available
laica.cat,0,0,-,0,0,-,registered,registered,registered,registered,54,341,Yesterday 08:45,available
NaturalEvents.cat,0,0,-,0,0,-,registered,available,available,available,5,17,Yesterday 08:40,available
IsHoes.cat,0,0,-,0,0,-,registered,registered,registered,registered,52,1.8 K,Yesterday 08:40,available
cosetes.cat,0,0,2013,12,0,-,registered,available,available,available,1,15,Yesterday 08:40,available
Soleas.cat,1,0,2018,2,0,-,registered,registered,registered,registered,13,97,Yesterday 08:40,available
fasetravel.cat,0,0,-,0,0,-,registered,available,available,available,1,-,Yesterday 08:30,available
Pronto.cat,0,0,-,0,0,-,registered,registered,registered,registered,175,6.6 K,Yesterday 08:20,available
lanonnajovita.cat,0,0,2018,2,0,-,registered,available,available,available,1,2,Yesterday 08:11,available
opciob.cat,0,0,-,0,0,-,available,available,available,available,0,1,Yesterday 08:10,available
kubic.cat,96,14,2009,50,0,-,registered,registered,registered,registered,55,362,Yesterday 05:30,available
teatresanthipolitvoltrega.cat,214,2,2020,1,0,-,available,available,available,available,0,-,Yesterday 04:55,available
